11-20 23:13:42: Training starting...
11-20 23:13:43: New best reward -8.1 (-100.0%) at episode 0, saving model...
11-20 23:13:44: New best reward -6.9 (-14.8%) at episode 2, saving model...
11-20 23:13:44: New best reward -5.1 (-26.1%) at episode 3, saving model...
11-20 23:13:46: New best reward -3.9 (-23.5%) at episode 137, saving model...
11-20 23:13:48: New best reward -3.3 (-15.4%) at episode 219, saving model...
11-20 23:13:53: New best reward -2.1 (-36.4%) at episode 533, saving model...
11-20 23:13:55: New best reward -0.9 (-57.1%) at episode 662, saving model...
11-20 23:14:04: New best reward 0.9 (-200.0%) at episode 1128, saving model...
11-20 23:14:16: New best reward 3.9 (+333.3%) at episode 1751, saving model...
11-20 23:17:25: New best reward 4.4 (+12.8%) at episode 8563, saving model...
11-20 23:18:51: New best reward 4.6 (+4.5%) at episode 10483, saving model...
11-20 23:19:27: New best reward 4.9 (+6.5%) at episode 11445, saving model...
